originAttributes,originKey,scope,key,value
,moc.xoferif.stnuocca.:https:443,moc.xoferif.stnuocca.:https:443,_st,1
,moc.xoferif.stnuocca.:https:443,moc.xoferif.stnuocca.:https:443,__fxa_storage.uniqueUserId,"""72f63ed4-09b6-4664-b6ac-5e2205726360"""
,moc.xov.www.:https:443,moc.xov.www.:https:443,chorus-imgs-v1,"{""webp"":false}"
